source_id,title,publisher,url,source_type,reliability,coverage
S001,NASCAR releases 2026 Cup Series schedule,NASCAR,https://www.nascar.com/news-media/2025/08/20/nascar-releases-2026-schedule-adding-chicagoland-and-shifting-all-star-to-dover/,official schedule announcement,Primary,"2026 points schedule, Chicagoland/North Wilkesboro/San Diego/Homestead changes"
S002,2026 NASCAR Cup Series schedule,NASCAR,https://www.nascar.com/nascar-cup-series/2026/schedule/,official live schedule/results,Primary,2026 event order and completion status
S003,List of NASCAR tracks,NASCAR,https://www.nascar.com/tracks/,official track directory,Primary,"current track names, locations and basic classification"
S004,NASCAR Track Stats,RotoWire,https://www.rotowire.com/racing/tracks.php,track reference,Secondary,"track length, shape, banking, road-course turn counts; cross-check source"
S005,nascaR.data package and data documentation,Kyle Grealis / CRAN,https://www.kylegrealis.com/nascaR.data/,open historical race-results dataset documentation,Secondary-data,"race-by-race fields: season, race, track, start, finish, laps, led, rating; sourced with permission from DriverAverages.com"
S006,FASTLAP glossary,FASTLAP,https://fastlap.io/glossary,analytics methodology,Secondary-analytics,"dominance, practice, running position, luck delta and simulation metric definitions"
S007,NASCAR Advanced Stats & Results,Lap Raptor,https://www.lapraptor.com/dashboard/,advanced statistics platform,Secondary-analytics,loop data and track/driver analytical research from 2017 onward
S008,NASCAR Driver Stats by Track Index,Lap Raptor,https://www.lapraptor.com/indexes/nascar/stats-by-track,track-index reference,Secondary-analytics,track-indexed advanced driver statistics
S009,NASCAR track groupings,Fantasy Racing Cheat Sheet,https://fantasyracingcheatsheet.com/nascar/track-groups,comparables framework,Secondary-analytics,"data-informed track grouping by shape, length and banking"
S010,NASCAR DFS strategy and track-type guidance,Action Network,https://www.actionnetwork.com/nascar,DFS/betting analysis,Secondary-editorial,"long-run practice emphasis, track-type context and market strategy"
S011,NASCAR similar-track analysis,iFantasyRace,https://ifantasyrace.com/,DFS comparables,Secondary-editorial,track similarity and historical fantasy application
S012,2015 NASCAR Cup Series race results,Jayski,https://www.jayski.com/nascar-cup-series/2015-nascar-cup-series-race-results/,schedule/results archive,High-quality secondary,2015 points-race universe
S013,2016 NASCAR Cup Series race results,Jayski,https://www.jayski.com/nascar-cup-series/2016-nascar-cup-series-race-results/,schedule/results archive,High-quality secondary,2016 points-race universe
S014,2017 NASCAR Cup Series race results,Jayski,https://www.jayski.com/nascar-cup-series/2017-nascar-cup-series-race-results/,schedule/results archive,High-quality secondary,2017 points-race universe
S015,2018 NASCAR Cup Series race results,Jayski,https://www.jayski.com/nascar-cup-series/2018-nascar-cup-series-race-results/,schedule/results archive,High-quality secondary,2018 points-race universe
S016,2019 NASCAR Cup Series race results,Jayski,https://www.jayski.com/nascar-cup-series/2019-nascar-cup-series-race-results/,schedule/results archive,High-quality secondary,2019 points-race universe
S017,2020 NASCAR Cup Series race results,Jayski,https://www.jayski.com/nascar-cup-series/2020-nascar-cup-series-race-results/,schedule/results archive,High-quality secondary,2020 pandemic-adjusted points-race universe
S018,2021 NASCAR Cup Series race results,Jayski,https://www.jayski.com/nascar-cup-series/2021-nascar-cup-series-race-results/,schedule/results archive,High-quality secondary,2021 points-race universe
S019,2022 NASCAR Cup Series race results,Jayski,https://www.jayski.com/nascar-cup-series/2022-nascar-cup-series-race-results/,schedule/results archive,High-quality secondary,2022 points-race universe
S020,2023 NASCAR Cup Series race results,Jayski,https://www.jayski.com/nascar-cup-series/2023-nascar-cup-series-race-results/,schedule/results archive,High-quality secondary,2023 points-race universe
S021,2024 NASCAR Cup Series race results,Jayski,https://www.jayski.com/nascar-cup-series/2024-nascar-cup-series-race-results/,schedule/results archive,High-quality secondary,2024 points-race universe
S022,2025 NASCAR Cup Series race results,Jayski,https://www.jayski.com/nascar-cup-series/2025-nascar-cup-series-race-results/,schedule/results archive,High-quality secondary,2025 points-race universe
S023,Atlanta 'one-of-one' in uniqueness as surface ages,NASCAR,https://www.nascar.com/news-media/2024/02/24/atlanta-one-of-one-unique-surface-ages/,official configuration analysis,Primary,"2022 reconfiguration: banking 24 to 28 degrees, width 55 to 40 feet, drafting style"
S024,Drivers eager to see newly repaved Texas Motor Speedway,NASCAR,https://www.nascar.com/news-media/2017/04/06/drivers-eager-to-see-newly-repaved-texas-motor-speedway/,official configuration report,Primary,2017 Texas repave and asymmetric 20/24-degree banking
S025,Kentucky Speedway to add layer of asphalt,NASCAR,https://www.nascar.com/news-media/2016/10/10/kentucky-speedway-to-add-layer-of-asphalt/,official configuration report,Primary,"2016 reconfiguration, repave, increased Turns 1-2 banking"
S026,Phoenix Raceway through the years,NASCAR,https://www.nascar.com/gallery/flashback-phoenix-raceway-changes-through-the-years/,official track history,Primary,2018 start/finish relocation and championship-era context
S027,Sonoma's twists present next road-racing test,NASCAR,https://www.nascar.com/news-media/2022/06/08/cup-series-2022-sonoma-raceway-preview-next-gen/,official configuration report,Primary,2.52-mile carousel in 2019/2021; 1.99-mile chute layout from 2022
S028,Cup Series drivers bracing for reconfigured Roval,NASCAR,https://www.nascar.com/news-media/2024/10/09/cup-series-2024-playoffs-charlotte-road-course-reconfiguration-reaction/,official configuration report,Primary,"2024 Roval revision, 2.28 miles, 17 turns"
S029,What to Watch: 2025 Circuit of The Americas,NASCAR,https://www.nascar.com/news-media/2025/03/01/what-to-watch-2025-circuit-of-the-americas/,official configuration report,Primary,full-course first four races and 2025 shortened layout
S030,Christopher Bell wins on shortened COTA,NASCAR,https://www.nascar.com/news-media/2025/03/02/2025-nascar-cup-series-circuit-of-the-americas-race-recap/,official race report,Primary,"2.4-mile, 17-turn short COTA confirmation"
S031,NASCAR to race in San Diego in 2026,NASCAR,https://www.nascar.com/news-media/2025/07/23/nascar-heads-to-san-diego-in-2026-for-street-races-at-naval-base-coronado/,official venue announcement,Primary,first Cup race at Naval Base Coronado
S032,San Diego race course revealed,NASCAR,https://www.nascar.com/news-media/2025/10/21/san-diego-race-course-revealed-for-naval-base-coronado/,official configuration report,Primary,"3.4-mile, 16-turn street circuit"
S033,San Diego Cup race recap,NASCAR,https://www.nascar.com/news-media/2026/06/21/nascar-cup-series-naval-base-coronado-results-recap/,official race report,Primary,"first completed Cup race on 3.4-mile, 16-turn Qualcomm Circuit"
S034,NASCAR pauses Chicago Street Race for 2026,NASCAR,https://www.nascar.com/news-media/2025/07/18/nascar-puts-pause-on-chicago-street-race-for-2026/,official schedule status,Primary,"Chicago Street Course absent in 2026, future return possible"
S035,Chicagoland returns to NASCAR schedule in 2026,NASCAR,https://www.nascar.com/news-media/2025/08/20/chicagoland-returns-to-nascar-schedule-in-2026/,official schedule/configuration report,Primary,1.5-mile oval returns after 2019
S036,Cup Series to forgo restrictor plates at Daytona and Talladega,NASCAR,https://www.nascar.com/news-media/2018/10/02/monster-energy-series-no-restrictor-plates-dayton-talladega/,official rules report,Primary,plates retired after 2019 Daytona 500; tapered spacer replacement
S037,Talladega 101: 2019 rules package,NASCAR,https://www.nascar.com/news-media/2019/04/24/talladega-101-tv-times-tires-rules-package-in-play-this-weekend/,official rules report,Primary,first Talladega tapered-spacer superspeedway package
S038,NASCAR announces 2019 baseline rules packages,NASCAR,https://www.nascar.com/news-media/2018/10/02/2019-rules-packages-announced-monster-energy-series/,official rules report,Primary,550-hp/high-downforce package on many larger ovals
S039,NASCAR officials boost horsepower at select tracks for 2026,NASCAR,https://www.nascar.com/news-media/2025/10/08/nascar-officials-to-boost-cup-series-horsepower-on-select-tracks-in-2026/,official rules report,Primary,750 hp at road courses and ovals under 1.5 miles in 2026
S040,North Wilkesboro points-race return preview,NASCAR,https://www.nascar.com/news-media/2026/07/18/cup-series-2026-what-to-watch-north-wilkesboro-preview/,official race preview,Primary,first points-paying Cup race since 1996; 2026 pre-race status
S041,2026 Cup standings after EchoPark,NASCAR,https://www.nascar.com/standings/nascar-cup-series/,official current standings,Primary,"snapshot confirms Race 20 of 36 completed through July 12, 2026"
